ｲﾖｫ,ｲﾖｫ,zwq,zwr
111.4370474,36.08571802,111.4341707,36.08017032
111.4341707,36.08017032,111.425495,36.06672166
111.425495,36.06672166,111.4087033,36.03883666
111.4087033,36.03883666,111.4080917,36.03659
111.2439889,35.68326134,111.24392,35.68206
111.24392,35.68206,111.2439983,35.67011666
111.2361753,35.64883707,111.2349801,35.61639114
111.2349801,35.61639114,111.2267341,35.59923696
111.1577448,35.60235006,111.1482899,35.57684087
111.1482899,35.57684087,111.1395667,35.57671953
111.1395667,35.57671953,111.1338756,35.53932611
111.1338756,35.53932611,111.1312283,35.5390575
111.1312283,35.5390575,111.130675,35.52335333
111.130675,35.52335333,111.1305131,35.51796892
111.1208057,35.50632333,111.1099283,35.50522
111.1099283,35.50522,111.1171417,35.48411166
111.1171417,35.48411166,111.1170639,35.45467
111.1197799,35.45459554,111.150836,35.45374872
111.1670392,35.41261416,111.2190067,35.361295
111.20062,35.34702666,111.1443069,35.27125543
111.1389837,35.26605861,111.1324518,35.25861591
111.1324518,35.25861591,111.1135683,35.23697833
111.2115883,35.13428,111.2113435,35.12685735
111.2113435,35.12685735,111.1764756,35.07893826
110.8689117,35.97940166,110.8904275,35.9874309
110.8963508,35.98169501,110.9432883,35.92324333
110.9722842,35.8082283,110.9898272,35.70593222
110.9898272,35.70593222,111.0031517,35.70244
111.0031517,35.70244,111.0135706,35.68980833
111.0135706,35.68980833,111.0091617,35.66315833
111.0091617,35.66315833,111.00917,35.65458
111.00917,35.65458,110.9983533,35.64951959
110.9983533,35.64951959,110.9885445,35.64174786
110.9885445,35.64174786,110.9814878,35.63077023
110.9870558,35.62919386,110.9963302,35.60018379
110.9962108,35.59638319,110.9340012,35.53816697
110.9340012,35.53816697,110.9303863,35.533992
110.9142362,35.5092462,110.8806008,35.46422708
110.8806008,35.46422708,110.8788552,35.45583296
110.8776732,35.44885309,110.8685721,35.42487535
111.5987333,35.61373333,111.6013628,35.61353833
111.6317233,35.545335,111.652195,35.51771
111.40907,35.61456833,111.3404267,35.58686975
111.3404267,35.58686975,111.3350553,35.5829108
111.3314263,35.57889722,111.3261883,35.57331333
111.3116667,35.53607666,111.3166764,35.44385251
111.3166764,35.44385251,111.3135253,35.43834524
111.3406046,35.60447109,111.3404267,35.58686975
111.7601466,37.26249507,111.7777324,37.2526082
111.3404267,35.58686975,111.3350553,35.5829108
111.3314263,35.57889722,111.3261883,35.57331333
111.315401,35.43718268,111.3149796,35.436777
111.3149796,35.436777,111.3102217,35.40549
111.2804734,35.37746636,111.2722375,35.37300533
111.2670957,35.37232217,111.2190067,35.361295
110.6437877,35.43622661,110.6497035,35.43392522
110.7083521,35.42250104,110.7185252,35.42287637
110.7185252,35.42287637,110.7470533,35.42378333
110.7470533,35.42378333,110.7814323,35.42667789
110.7814323,35.42667789,110.8685717,35.42487338
110.8685717,35.42487338,110.8829974,35.28677034
