"ID","路线编号","所在行政区划代码","路线名称","起点名称","止点名称","起点桩号","止点桩号","里程（公里）","技术等级代码","技术等级","是否一幅高速","车道数量(个)","面层类型代码","面层类型","路基宽度(米)","路面宽度(米)","面层厚度(厘米)","设计时速(公里/小时)","修建年度","改建年度","最近一次修复养护年度","断链类型","是否城管路段","是否断头路段","路段收费性质","重复路段线路编号","重复路段起点桩号","重复路段终点桩号","养护里程","可绿化里程","已绿化里程","地貌代码","地貌汉字","涵洞数量(个)","管养单位名称","省际出入口","国道调整前路线编号","是否按干线公路管理接养","备注","F40","startx","starty","endx","endy"
"238","G108","141081","京昆线","108国道","108国道","955.771","957.536","1.765","11","一级","否","4","11","沥青混凝土","38","26","12","80","1973","2012","2018","0","否","否","非收费","","","","1.765","1.765","1.765","4","平原","0","侯马公路管理段","0","G108","是","","","MTExLjQyNTgzMTMx","MzUuNjMwMzc4","MTExLjQwNzU1NzY0","MzUuNjI0ODQ1NTE="
"241","G108","141081","京昆线","108国道","东吴王村","958.883","961.79","2.907","11","一级","否","4","11","沥青混凝土","26","26","12","80","1973","1999","","0","否","否","非收费","","","","2.907","2.907","2.907","4","平原","0","侯马公路管理段","0","G108","是","","","MTExLjM5MzQ2NDk1","MzUuNjIxMDE0NzY=","MTExLjM2MzU2NzE4","MzUuNjIxOTA1NTM="
"244","G108","141081","京昆线","西新城村委会","西侯马村","965.477","966.742","1.265","11","一级","否","4","11","沥青混凝土","28","25","12","80","1973","","","0","否","否","非收费","","","","1.265","1.265","1.165","4","平原","2","侯马公路管理段","0","G108","是","","","MTExLjM0MDExNzUx","MzUuNjA4NTA3ODI=","MTExLjMyNjYxMjg=","MzUuNjA2NTM3NDk="
"246","G108","141081","京昆线","西侯马村","高村","967.261","970.059","2.798","11","一级","否","4","11","沥青混凝土","28","25","12","80","1973","","2018","0","否","否","非收费","","","","2.798","2.798","2.736","4","平原","13","侯马公路管理段","0","G108","是","","","MTExLjMyMTA2OTY0","MzUuNjA1MzYzNQ==","MTExLjI5MTAyMzEz","MzUuNjAwNDM5ODQ="
"249","G108","140825","京昆线","龙兴镇南关村","开发区西曲村","976.36","978.066","1.706","11","一级","否","4","11","沥青混凝土","24","16","8","60","1986","2008","","0","否","否","非收费","","","","1.706","1.706","1.706","4","平原","0","新绛公路管理段","0","G108","是","","","MTExLjIyNjczNDE0","MzUuNTk5MjM2OTc=","MTExLjIwODk2ODM5","MzUuNTk0MzY0NjU="
"251","G108","140825","京昆线","古交乡龙泉村","古交乡南李村","982.957","985.003","2.046","12","二级","否","2","11","沥青混凝土","12","12","7","80","1994","2003","","0","否","否","非收费","","","","2.046","2.046","2.046","4","平原","0","新绛公路管理段","0","G108","是","","","MTExLjE1Nzc0NDg0","MzUuNjAyMzUwMDY=","MTExLjEzNTI2MDQ2","MzUuNjAzNTk5NTY="
"252","G108","140825","京昆线","古交乡南李村","稷峰镇杨赵村","985.003","990.482","5.479","12","二级","否","2","11","沥青混凝土","12","12","7","80","1994","2003","","0","否","否","非收费","","","","5.479","5.479","5.479","4","平原","1","新绛公路管理段","0","G108","是","","","MTExLjEzNTI2MDQ2","MzUuNjAzNTk5NTY=","MTExLjA3NTY2ODE5","MzUuNjAzMjc0Mw=="
"254","G108","140824","京昆线","东渠村","东渠村","998.111","998.535","0.424","11","一级","否","4","11","沥青混凝土","25.5","23","10","100","1994","2006","","0","否","否","还贷","","","","0.424","0.424","0.424","4","平原","0","稷山公路管理段","0","G108","是","","","MTEwLjk5NjMzMDE5","MzUuNjAwMTgzNzk=","MTEwLjk5NjIxMDc5","MzUuNTk2MzgzMTk="
"261","G108","140882","京昆线","城区街道办事处马家村","吴家关","1023.889","1024.945","1.056","11","一级","否","4","11","沥青混凝土","24.5","22","10","100","1997","2007","","0","否","否","非收费","","","","1.056","1.056","1.056","4","平原","0","河津公路管理段","0","G108","是","","","MTEwLjcyODE2MTIx","MzUuNTY5NTY4OTQ=","MTEwLjcxNzU4MzU5","MzUuNTY2NjA0NTc="
"262","G108","140882","京昆线","吴家关","太阳村","1024.945","1029.179","4.234","11","一级","否","4","11","沥青混凝土","24.5","22","10","100","1997","2007","","0","否","否","非收费","","","","4.234","4.234","4.234","4","平原","0","河津公路管理段","0","G108","是","","","MTEwLjcxNzU4MzU5","MzUuNTY2NjA0NTc=","MTEwLjY3NjE5MTI=","MzUuNTc3NTA3NTc="
